trip_distance,fare_amount,tip_amount,total_amount,passenger_count,payment_type,pickup_datetime,dropoff_datetime
12.03,35.5,0,36.3,1,1,2018-01-13 15:45:51.000000 UTC,2018-01-13 16:19:23.000000 UTC
12.3,35.5,0,36.3,1,2,2018-01-24 06:15:16.000000 UTC,2018-01-24 06:42:07.000000 UTC
11.07,35.5,0,36.3,1,2,2018-01-28 13:22:17.000000 UTC,2018-01-28 13:55:15.000000 UTC
11.7,35.5,0,36.3,1,2,2018-01-02 11:21:14.000000 UTC,2018-01-02 11:52:14.000000 UTC
12.93,35.5,0,36.3,2,1,2018-01-15 09:11:45.000000 UTC,2018-01-15 09:30:47.000000 UTC
12.58,35.5,0,36.3,2,2,2018-01-19 11:55:46.000000 UTC,2018-01-19 12:22:36.000000 UTC
11.24,35.5,0,36.3,1,2,2018-01-12 11:19:03.000000 UTC,2018-01-12 11:51:42.000000 UTC
11.42,35.5,0,36.3,2,2,2018-01-10 07:20:13.000000 UTC,2018-01-10 07:58:38.000000 UTC
10.5,35.5,0,36.3,1,2,2018-01-15 14:02:42.000000 UTC,2018-01-15 14:36:54.000000 UTC
12.59,35.5,0,36.3,1,2,2018-01-01 19:45:57.000000 UTC,2018-01-01 20:09:27.000000 UTC
11.29,35.5,0,36.3,2,2,2018-01-13 15:53:59.000000 UTC,2018-01-13 16:30:36.000000 UTC
10.55,35.5,0,36.3,1,2,2018-01-19 11:00:28.000000 UTC,2018-01-19 11:42:53.000000 UTC
10.8,35.5,0,36.3,1,2,2018-01-24 11:51:47.000000 UTC,2018-01-24 12:29:25.000000 UTC
11.09,35.5,0,36.3,1,2,2018-01-14 08:21:54.000000 UTC,2018-01-14 08:54:20.000000 UTC
10.32,35.5,0,36.3,1,2,2018-01-02 15:19:54.000000 UTC,2018-01-02 15:56:58.000000 UTC
12.3,35.5,0,36.3,5,1,2018-01-22 14:30:23.000000 UTC,2018-01-22 14:57:16.000000 UTC
10.78,35.5,0,36.3,1,2,2018-01-20 17:01:28.000000 UTC,2018-01-20 17:39:51.000000 UTC
8.4,35.5,0,36.3,1,2,2018-01-24 08:14:23.000000 UTC,2018-01-24 09:03:35.000000 UTC
8.45,35.5,0,36.3,1,2,2018-01-12 14:54:27.000000 UTC,2018-01-12 15:44:51.000000 UTC
9.04,35.5,0,36.3,1,2,2018-01-24 11:55:39.000000 UTC,2018-01-24 12:39:17.000000 UTC
9.07,35.5,0,36.3,2,2,2018-01-01 15:48:01.000000 UTC,2018-01-01 16:32:29.000000 UTC
8.7,35.5,0,36.3,1,2,2018-01-27 14:40:45.000000 UTC,2018-01-27 15:29:15.000000 UTC
11.2,35.5,0,36.3,1,2,2018-01-26 15:57:47.000000 UTC,2018-01-26 16:34:00.000000 UTC
10.04,35.5,0,36.3,1,2,2018-01-12 14:21:49.000000 UTC,2018-01-12 15:09:45.000000 UTC
11.95,35.5,0,36.3,2,1,2018-01-02 15:41:26.000000 UTC,2018-01-02 16:14:41.000000 UTC
